index,Precision,Recall,MCC,F1,IoU,TP,FP,TN,FN
hillshade1,0.7626680331776146682,0.55434575472515290606,0.64810065375799652543,0.6420309192507950291,0.47278758283405114549,63997.0,19915.0,20677139.0,51449.0
maxelevationdeviation1,0.75593005756873610235,0.5482303414583441503,0.6416148497364704273,0.6355411403209286769,0.46578255973977228388,63291.0,20435.0,20676619.0,52155.0
multiscaleelevationpercentile1,0.7312854687168860446,0.53800911248549110333,0.6250394930935297966,0.6199321289549855063,0.44920408768415193146,62111.0,22823.0,20674231.0,53335.0
minimal_curvature1,0.7173077327059218522,0.5915492957746478764,0.64933376765804606823,0.64838691301293127633,0.47971340264119133323,68292.0,26914.0,20670140.0,47154.0
maximal_curvature1,0.7619559821280821321,0.5583822739635847521,0.6501694530347008616,0.6444753259217788077,0.475443448759081011,64463.0,20139.0,20676915.0,50983.0
profile_curvature1,0.7479992258740223443,0.56914055056043522107,0.6503761217386597737,0.6464259888728742798,0.4775697402276460335,65705.0,22136.0,20674918.0,49741.0
stdon1,0.70485151933701661875,0.42435424354243544975,0.5444206437939482779,0.52976480129764802474,0.36032656663724627055,48990.0,20514.0,20676540.0,66456.0
multiscale_stdon1,0.68963982137143331475,0.429395561561249417,0.5416705311824594471,0.5292563271712033002,0.3598562665601974797,49572.0,22309.0,20674745.0,65874.0
elevation_above_pit1,0.7336940845265429445,0.55082029693536371795,0.633547148763119794,0.62923949989362593094,0.45904408526857581885,63590.0,23081.0,20673973.0,51856.0
depthinsink1,0.7175228036485837846,0.51785250246868663737,0.60728503020672552903,0.6015515732066852861,0.4301564231339309874,59784.0,23536.0,20673518.0,55662.0
