index,TP,FP,FN,Precision,Recall,F1
hillshade1,332.0,52.0,157.0,0.86458333333333337034,0.6789366053169734183,0.7605956471935854113
maxelevationdeviation1,346.0,64.0,156.0,0.8439024390243902163,0.6892430278884462691,0.75877192982456131976
multiscaleelevationpercentile1,333.0,72.0,166.0,0.8222222222222221877,0.6673346693386773554,0.73672566371681402764
minimal_curvature1,358.0,86.0,152.0,0.8063063063063062863,0.7019607843137254388,0.7505241090146750338
maximal_curvature1,335.0,61.0,155.0,0.8459595959595959114,0.6836734693877550839,0.75620767494356644356
profile_curvature1,342.0,62.0,149.0,0.84653465346534650937,0.69653767820773926367,0.76424581005586578186
stdon1,252.0,49.0,189.0,0.83720930232558143924,0.57142857142857139685,0.67924528301886799575
multiscale_stdon1,257.0,64.0,222.0,0.8006230529595015355,0.53653444676409189906,0.64249999999999996003
elevation_above_pit1,341.0,70.0,161.0,0.8296836982968369689,0.67928286852589636613,0.74698795180722898923
depthinsink1,328.0,78.0,169.0,0.8078817733990147909,0.65995975855130784016,0.72646733111849393083
